genotype,DAS,region,population,haplotype,flowering
FR01-047,48,CE,FR01,0,1
FR01-073,50,CE,FR01,0,1
FR01-073,51,CE,FR01,0,1
FR01-073,51,CE,FR01,0,1
FR01-137,51,CE,FR01,0,1
FR01-137,54,CE,FR01,0,1
FR01-137,54,CE,FR01,0,1
FR01-137,54,CE,FR01,0,1
FR01-073,54,CE,FR01,0,1
FR01-009,56,CE,FR01,0,1
FR04-254,56,CE,FR04,0,1
FR01-047,57,CE,FR01,0,1
FR01-047,57,CE,FR01,0,1
FR01-039,57,CE,FR01,0,1
FR08-039,58,CE,FR08,0,1
FR08-039,61,CE,FR08,0,1
FR04-254,61,CE,FR04,0,1
FR01-039,61,CE,FR01,0,1
FR01-118,61,CE,FR01,0,1
FR01-100,61,CE,FR01,0,1
FR04-254,61,CE,FR04,0,1
FR01-118,61,CE,FR01,0,1
FR01-047,61,CE,FR01,0,1
FR01-116,63,CE,FR01,0,1
FR04-263,63,CE,FR04,0,1
FR08-039,63,CE,FR08,0,1
FR01-039,63,CE,FR01,0,1
FR04-254,63,CE,FR04,0,1
FR01-039,64,CE,FR01,0,1
FR04-272,64,CE,FR04,0,1
FR01-009,64,CE,FR01,0,1
FR01-009,64,CE,FR01,0,1
FR04-263,64,CE,FR04,0,1
FR01-116,64,CE,FR01,0,1
FR01-009,64,CE,FR01,0,1
FR04-272,64,CE,FR04,0,1
FR01-400,65,CE,FR01,0,1
FR04-263,65,CE,FR04,0,1
FR04-272,65,CE,FR04,0,1
FR01-400,65,CE,FR01,0,1
FR04-272,65,CE,FR04,0,1
FR04-260,68,CE,FR04,0,1
FR01-409,68,CE,FR01,0,1
FR08-039,68,CE,FR08,0,1
FR01-118,68,CE,FR01,0,1
FR01-116,68,CE,FR01,0,1
FR01-100,68,CE,FR01,0,1
FR04-260,68,CE,FR04,0,1
FR01-118,68,CE,FR01,0,1
FR01-400,68,CE,FR01,0,1
FR04-260,68,CE,FR04,0,1
FR04-260,69,CE,FR04,0,1
FR01-116,69,CE,FR01,0,1
FR01-100,69,CE,FR01,0,1
FR03-319,69,CE,FR03,0,1
FR04-265,71,CE,FR04,0,1
FR04-263,71,CE,FR04,0,1
FR03-319,75,CE,FR03,0,1
FR01-409,75,CE,FR01,0,1
FR01-020,75,CE,FR01,0,1
FR15-330,75,CE,FR15,2,1
FR01-409,77,CE,FR01,0,1
FR04-265,77,CE,FR04,0,1
FR03-319,78,CE,FR03,0,1
FR03-319,78,CE,FR03,0,1
FR03-326,82,CE,FR03,0,1
FR01-005,82,CE,FR01,0,1
FR01-100,82,CE,FR01,0,1
FR01-020,82,CE,FR01,0,1
FR01-020,82,CE,FR01,0,1
FR04-265,84,CE,FR04,0,1
FR04-265,84,CE,FR04,0,1
FR01-409,85,CE,FR01,0,1
FR01-120,85,CE,FR01,0,1
FR03-326,86,CE,FR03,0,1
FR08-040,86,CE,FR08,0,1
FR08-061,86,CE,FR08,0,1
FR03-307,89,CE,FR03,0,1
FR08-010,89,CE,FR08,0,1
FR01-020,89,CE,FR01,0,1
FR03-307,89,CE,FR03,0,1
FR03-307,89,CE,FR03,0,1
FR01-400,89,CE,FR01,0,1
FR08-061,91,CE,FR08,0,1
FR08-061,91,CE,FR08,0,1
FR08-040,91,CE,FR08,0,1
FR08-010,91,CE,FR08,0,1
FR08-010,92,CE,FR08,0,1
FR03-326,92,CE,FR03,0,1
FR03-323,92,CE,FR03,0,1
FR08-040,96,CE,FR08,0,1
FR01-005,96,CE,FR01,0,1
FR03-323,96,CE,FR03,0,1
FR08-047,96,CE,FR08,0,1
FR15-325,96,CE,FR15,0,1
FR15-329,100,CE,FR15,0,1
FR01-120,100,CE,FR01,0,1
FR01-005,100,CE,FR01,0,1
FR08-040,103,CE,FR08,0,1
FR03-317,103,CE,FR03,0,1
FR15-330,103,CE,FR15,2,1
FR08-010,106,CE,FR08,0,1
FR03-326,106,CE,FR03,0,1
FR03-307,106,CE,FR03,0,1
FR03-320,106,CE,FR03,0,1
FR03-317,106,CE,FR03,0,1
FR15-330,106,CE,FR15,2,1
FR08-047,106,CE,FR08,0,1
FR08-047,110,CE,FR08,0,1
FR01-120,110,CE,FR01,0,1
FR03-323,110,CE,FR03,0,1
FR08-016,110,CE,FR08,0,1
FR01-120,110,CE,FR01,0,1
FR15-330,110,CE,FR15,2,1
FR08-016,110,CE,FR08,0,1
FR15-329,110,CE,FR15,0,1
FR15-329,110,CE,FR15,0,1
FR15-329,113,CE,FR15,0,1
FR01-005,113,CE,FR01,0,1
FR03-317,113,CE,FR03,0,1
FR03-308,113,CE,FR03,0,1
FR08-016,117,CE,FR08,0,1
FR04-274,117,CE,FR04,0,1
FR03-317,117,CE,FR03,0,1
FR15-325,120,CE,FR15,0,1
FR03-308,124,CE,FR03,0,1
FR03-308,124,CE,FR03,0,1
FR02-029,124,CE,FR02,2,1
FR03-323,127,CE,FR03,0,1
FR08-011,127,CE,FR08,0,1
FR07-097,131,CE,FR07,2,1
FR15-325,131,CE,FR15,0,1
FR04-274,131,CE,FR04,0,1
FR07-097,131,CE,FR07,2,1
FR08-047,134,CE,FR08,0,1
FR04-274,134,CE,FR04,0,1
FR03-316,134,CE,FR03,0,1
FR07-038,134,CE,FR07,2,1
FR08-005,134,CE,FR08,0,1
FR03-308,138,CE,FR03,0,1
FR08-016,138,CE,FR08,0,1
FR08-005,138,CE,FR08,0,1
FR07-002,141,CE,FR07,2,1
FR08-005,141,CE,FR08,0,1
FR02-037,141,CE,FR02,2,1
FR15-327,141,CE,FR15,0,1
FR07-002,141,CE,FR07,2,1
FR07-097,145,CE,FR07,2,1
FR04-274,145,CE,FR04,0,1
FR02-029,148,CE,FR02,2,1
FR07-002,148,CE,FR07,2,1
FR02-037,152,CE,FR02,2,1
FR08-005,152,CE,FR08,0,1
FR03-316,152,CE,FR03,0,1
FR07-097,152,CE,FR07,2,1
FR03-320,152,CE,FR03,0,1
FR02-037,152,CE,FR02,2,1
FR03-316,152,CE,FR03,0,1
FR07-038,152,CE,FR07,2,1
FR07-002,155,CE,FR07,2,1
FR15-327,155,CE,FR15,0,1
FR15-327,155,CE,FR15,0,1
FR08-008,159,CE,FR08,0,1
FR02-015,159,CE,FR02,2,1
FR07-038,166,CE,FR07,2,1
FR02-029,166,CE,FR02,2,1
FR07-038,166,CE,FR07,2,1
FR02-029,166,CE,FR02,2,1
FR08-061,173,CE,FR08,0,1
FR02-037,173,CE,FR02,2,1
FR08-008,173,CE,FR08,0,1
ES06-009,173,IBE,ES06,2,1
FR02-099,173,CE,FR02,2,1
FR08-008,173,CE,FR08,0,1
FR07-102,176,CE,FR07,2,1
FR15-325,176,CE,FR15,0,1
FR15-327,176,CE,FR15,0,1
FR08-011,180,CE,FR08,0,1
FR07-102,180,CE,FR07,2,1
FR08-008,180,CE,FR08,0,1
ES06-008,180,IBE,ES06,2,1
ES06-009,180,IBE,ES06,2,1
FR07-091,180,CE,FR07,2,1
ES06-008,180,IBE,ES06,2,1
ES06-009,180,IBE,ES06,2,1
ES08-007,184,IBE,ES08,2,1
FR03-316,184,CE,FR03,0,1
FR07-102,184,CE,FR07,2,1
FR03-320,187,CE,FR03,0,1
FR07-103,187,CE,FR07,2,1
ES06-009,197,IBE,ES06,2,1
FR02-099,194,CE,FR02,2,1
FR02-099,194,CE,FR02,2,1
FR07-027,194,CE,FR07,2,1
FR07-012,194,CE,FR07,2,1
FR07-103,197,CE,FR07,2,1
FR02-026,197,CE,FR02,2,1
FR02-026,197,CE,FR02,2,1
FR07-012,201,CE,FR07,2,1
FR07-027,204,CE,FR07,2,1
FR07-012,208,CE,FR07,2,1
FR07-012,211,CE,FR07,2,1
ES05-004,216,IBE,ES05,2,1
FR07-102,216,CE,FR07,2,1
FR02-026,219,CE,FR02,2,1
FR02-026,222,CE,FR02,2,1
ES01-004,226,IBE,ES01,2,1
ES06-017,226,IBE,ES06,2,1
FR07-091,230,CE,FR07,2,1
FR08-060,237,CE,FR08,0,1
FR07-007,244,CE,FR07,2,1
FR07-027,247,CE,FR07,2,1
FR07-027,247,CE,FR07,2,1
FR07-091,247,CE,FR07,2,1
ES01-004,250,IBE,ES01,2,1
ES01-004,250,IBE,ES01,2,1
ES01-004,250,IBE,ES01,2,0
ES01-010,250,IBE,ES01,2,0
ES01-010,250,IBE,ES01,2,0
ES01-010,250,IBE,ES01,2,0
ES01-010,250,IBE,ES01,2,0
ES01-016,250,IBE,ES01,2,0
ES01-016,250,IBE,ES01,2,0
ES01-016,250,IBE,ES01,2,0
ES01-016,250,IBE,ES01,2,0
ES01-018,250,IBE,ES01,2,0
ES01-018,250,IBE,ES01,2,0
ES01-018,250,IBE,ES01,2,0
ES01-018,250,IBE,ES01,2,0
ES01-020,250,IBE,ES01,2,0
ES01-020,250,IBE,ES01,2,0
ES01-020,250,IBE,ES01,2,0
ES01-020,250,IBE,ES01,2,0
ES01-084,250,IBE,ES01,2,0
ES01-084,250,IBE,ES01,2,0
ES01-084,250,IBE,ES01,2,0
ES01-103,250,IBE,ES01,2,0
ES01-103,250,IBE,ES01,2,0
ES01-103,250,IBE,ES01,2,0
ES01-103,250,IBE,ES01,2,0
ES02-002,250,IBE,ES02,2,0
ES02-002,250,IBE,ES02,2,0
ES02-002,250,IBE,ES02,2,0
ES02-002,250,IBE,ES02,2,0
ES02-004,250,IBE,ES02,2,0
ES02-004,250,IBE,ES02,2,0
ES02-004,250,IBE,ES02,2,0
ES02-004,250,IBE,ES02,2,0
ES02-005,250,IBE,ES02,2,0
ES02-005,250,IBE,ES02,2,0
ES02-005,250,IBE,ES02,2,0
ES02-005,250,IBE,ES02,2,0
ES03-001,250,IBE,ES03,2,0
ES03-001,250,IBE,ES03,2,0
ES03-001,250,IBE,ES03,2,0
ES03-001,250,IBE,ES03,2,0
ES03-002,250,IBE,ES03,2,0
ES03-002,250,IBE,ES03,2,0
ES03-002,250,IBE,ES03,2,0
ES03-003,250,IBE,ES03,2,0
ES03-003,250,IBE,ES03,2,0
ES03-003,250,IBE,ES03,2,0
ES03-003,250,IBE,ES03,2,0
ES03-018,250,IBE,ES03,2,0
ES03-018,250,IBE,ES03,2,0
ES03-018,250,IBE,ES03,2,0
ES03-018,250,IBE,ES03,2,0
ES03-020,250,IBE,ES03,2,0
ES03-020,250,IBE,ES03,2,0
ES03-020,250,IBE,ES03,2,0
ES03-020,250,IBE,ES03,2,0
ES03-021,250,IBE,ES03,2,0
ES03-021,250,IBE,ES03,2,0
ES03-021,250,IBE,ES03,2,0
ES03-021,250,IBE,ES03,2,0
ES03-026,250,IBE,ES03,2,0
ES03-026,250,IBE,ES03,2,0
ES03-026,250,IBE,ES03,2,0
ES03-026,250,IBE,ES03,2,0
ES03-031,250,IBE,ES03,2,0
ES03-031,250,IBE,ES03,2,0
ES03-031,250,IBE,ES03,2,0
ES03-033,250,IBE,ES03,2,0
ES03-033,250,IBE,ES03,2,0
ES03-033,250,IBE,ES03,2,0
ES03-033,250,IBE,ES03,2,0
ES04-001,250,IBE,ES04,2,0
ES04-001,250,IBE,ES04,2,0
ES04-001,250,IBE,ES04,2,0
