population	number_of_genotypes	number_of_nonmissingsites	segragating_sites	watterson	pi	TajimasD	
FR10	1	1.5753049E7	0.0	NaN	0.0	NaN
ES01	12	1.5684423E7	31523.0	6.65533148556965E-4	6.279623593884022E-4	-0.26736857540148756
ES23	3	1.5617904E7	9412.0	4.017611240705966E-4	4.0176112407063613E-4	Infinity
FR16	3	1.5842066E7	27861.0	0.0011724480885258273	0.0011724480885257024	-Infinity
ES02	4	1.5513559E7	22374.0	7.866666829964678E-4	8.273730096362148E-4	0.5441808786140024
ES24	4	1.5015546E7	18073.0	6.565195831040709E-4	6.612369162821816E-4	0.07556463111375582
FR15	6	1.559444E7	42191.0	0.0011848973235959806	0.0012684948396135334	0.4600450098435908
ES03	32	1.5714472E7	52969.0	8.369777412571722E-4	8.65110840545326E-4	0.13055797179986825
ES25	8	1.5474358E7	23637.0	5.891164174376372E-4	6.401119470398623E-4	0.4766234547865905
FR18	1	1.6049039E7	0.0	NaN	0.0	NaN
ES04	38	1.5653934E7	55035.0	8.367624675335912E-4	9.277551887068603E-4	0.41253534946214954
FR17	4	1.5628562E7	19168.0	6.689849473849692E-4	6.729239282112614E-4	0.061920997088145774
ES05	17	1.5733379E7	32060.0	6.027415844216096E-4	6.860292899273894E-4	0.5995302353463882
ES06	18	1.553916E7	33225.0	6.216350671900234E-4	6.55234314446482E-4	0.23169050409794473
FR19	3	1.5816832E7	29213.0	0.0012313043050171698	0.0012313043050171484	-Infinity
ES08	3	1.5658316E7	8839.0	3.7632825053898945E-4	3.763282505390178E-4	Infinity
ES09	2	1.5695976E7	8344.0	5.316012205930998E-4	5.316012205930998E-4	NaN
FR21	4	1.5762155E7	25060.0	8.672095223712056E-4	8.553821902313111E-4	-0.14342866857499587
FR20	2	1.5885968E7	18832.0	0.0011854486928338267	0.0011854486928338267	NaN
FR01	47	1.5473787E7	57657.0	8.436431410091431E-4	0.0010077780223214218	0.7187197077364477
ES10	2	1.5724605E7	5524.0	3.5129658264865796E-4	3.5129658264865796E-4	NaN
FR03	10	1.5485891E7	27348.0	6.242539502274239E-4	7.226692850788707E-4	0.7921277063849004
FR02	7	1.5587242E7	32425.0	8.490722013266376E-4	9.107203857887624E-4	0.42845880883160625
FR04	11	1.5427349E7	32154.0	7.115886929211024E-4	7.535967456233883E-4	0.28718567647827614
FR07	15	1.5568998E7	40876.0	8.074500105854878E-4	9.271171924027545E-4	0.6615914318934979
ES15	1	1.5847942E7	0.0	NaN	0.0	NaN
FR06	10	1.5470488E7	48201.0	0.0011013464625311703	0.001222528410940511	0.5528629575658539
ES17	13	1.5574685E7	25613.0	5.29943923459405E-4	5.656236550793041E-4	0.31172809801145795
FR08	21	1.537577E7	61549.0	0.0011126392953836068	0.0012884780961956155	0.6573471539826427
