population	number_of_genotypes	number_of_nonmissingsites	segragating_sites	watterson	pi	TajimasD	
FR10	1	3507546.0	0.0	NaN	0.0	NaN
ES01	12	3488190.0	23835.0	0.0022626934491726904	0.0021892312475681594	-0.15376614475184175
ES23	3	3477493.0	6894.0	0.0013216417689410158	0.001321641768940974	-Infinity
FR16	3	3595092.0	26062.0	0.004832885129689774	0.004832885129688616	-Infinity
ES02	4	3450968.0	17296.0	0.0027337784117910735	0.002876777375700613	0.5500962902857398
ES24	4	3346234.0	14215.0	0.002317123178963684	0.0023324230562876934	0.06943926413645371
FR15	6	3472702.0	36596.0	0.004615266514510733	0.004943604912447802	0.46388587950210547
ES03	32	3495137.0	37704.0	0.0026786449419164545	0.0030411771112723723	0.5256807089103481
ES25	8	3445435.0	18449.0	0.0020651432415377782	0.0022497262941505924	0.49213011910300675
FR18	1	3642544.0	0.0	NaN	0.0	NaN
ES04	38	3482137.0	38895.0	0.0026584876156538683	0.003244731284845846	0.8365475803090237
FR17	4	3540452.0	17935.0	0.0027631294740692075	0.002772951024332539	0.037380784532397626
ES05	17	3500102.0	23834.0	0.0020142152330474587	0.0023626874470581236	0.7506097137855259
ES06	18	3451077.0	25223.0	0.002124908065481264	0.002333908148681158	0.42161092730835265
FR19	3	3589598.0	27457.0	0.005099363958489689	0.005099363958489	-Infinity
ES08	3	3485243.0	6600.0	0.001262465773548645	0.0012624657735485776	-Infinity
ES09	2	3492889.0	5893.0	0.0016871420763728822	0.0016871420763728822	NaN
FR21	4	3577714.0	22628.0	0.0034498412826026495	0.0034113962155721232	-0.11719625750936871
FR20	2	3593696.0	17717.0	0.004930021905024799	0.004930021905024799	NaN
FR01	47	3444048.0	48167.0	0.0031665310803914897	0.003957554424489289	0.9228227769289022
ES10	2	3498756.0	4166.0	0.0011907089262583616	0.0011907089262583616	NaN
FR03	10	3446702.0	23734.0	0.0024341039881903195	0.0028100743519136194	0.7760769166321776
FR02	7	3469076.0	29126.0	0.0034268961721525054	0.0037076155149103705	0.48339617512938304
FR04	11	3435315.0	28069.0	0.002789624253853148	0.00297284369714345	0.3195082706150318
FR07	15	3465874.0	36000.0	0.0031944614209207215	0.003694460137134857	0.6987132707053898
ES15	1	3529352.0	0.0	NaN	0.0	NaN
FR06	10	3444357.0	41316.0	0.0042401579622702865	0.004804870368806849	0.6691857364609739
ES17	13	3458453.0	19373.0	0.0018051102796462	0.0019506053495815191	0.373180936310905
FR08	21	3422106.0	51602.0	0.004191247847159667	0.005047660292061973	0.8499062414630675
