population	number_of_genotypes	number_of_nonmissingsites	segragating_sites	watterson	pi	TajimasD	
FR10	1	1.09607839E8	0.0	NaN	0.0	NaN
ES01	12	1.11138921E8	554169.0	0.0016511508320620051	0.001551206977228517	-0.2866950715170378
ES23	3	1.10532449E8	181303.0	0.0010935129707174648	0.0010935129707202442	Infinity
FR16	3	1.09537606E8	456918.0	0.002780889697370235	0.0027808896973675877	-Infinity
ES02	4	1.12206981E8	392081.0	0.0019059630847421485	0.0020077479255319617	0.561630042308391
ES24	4	1.06883307E8	336669.0	0.0017181133473315564	0.0017431112980044834	0.1530150728518671
FR15	6	1.03381471E8	713349.0	0.0030219691925060365	0.0032163900369710633	0.41951656813053384
ES03	32	1.10518582E8	887216.0	0.001993361146998763	0.002035780668463567	0.0826609890081622
ES25	8	1.09270359E8	395129.0	0.001394626605576165	0.0015146164072829971	0.47375227509836726
FR18	1	1.13966726E8	0.0	NaN	0.0	NaN
ES04	38	1.08803293E8	952486.0	0.0020835469001425086	0.0022857563373754825	0.3681939186048712
FR17	4	1.07323833E8	318694.0	0.001619706322910503	0.001637435306035547	0.11511426086435027
ES05	17	1.11311279E8	583716.0	0.001551143819110031	0.0017475817416828631	0.5494908703159337
ES06	18	1.05434045E8	529044.0	0.0014588444217378232	0.001496572628722976	0.11086562977678364
FR19	3	1.08106664E8	489805.0	0.0030205045145659725	0.0030205045145691926	Infinity
ES08	3	1.10822294E8	139626.0	8.399392995781156E-4	8.399392995790636E-4	Infinity
ES09	2	1.12024747E8	150134.0	0.0013401860215761076	0.0013401860215761076	NaN
FR21	4	1.07711183E8	426190.0	0.0021582463979369043	0.0021312008676595304	-0.13178811208579788
FR20	2	1.1189493E8	325999.0	0.0029134385266606807	0.0029134385266606807	NaN
FR01	47	1.00310122E8	883668.0	0.0019945628352687522	0.002396929093250147	0.7452698008592318
ES10	2	1.1421104E8	100633.0	8.811144701948252E-4	8.811144701948252E-4	NaN
FR03	10	1.02164969E8	442522.0	0.0015311043312653148	0.001771791268298777	0.7898828860641728
FR02	7	1.05029754E8	514142.0	0.0019980421695648307	0.0021328042409797473	0.39802429657613364
FR04	11	1.00961555E8	508240.0	0.001718692361735092	0.0018685521164304207	0.42419495423675324
FR07	15	1.03797619E8	654932.0	0.001940513802436213	0.0021999658686389393	0.5968834851804946
ES15	1	1.1510301E8	0.0	NaN	0.0	NaN
FR06	10	1.00944399E8	774712.0	0.0027128762433284853	0.0029661638009612907	0.46913673712776865
ES17	13	1.05139109E8	430328.0	0.0013189370004760427	0.0013921895048807952	0.25716395176798534
FR08	21	9.7279386E7	960583.0	0.002744633388745889	0.0031432769078097935	0.6041569356541369
